frame_number,time_end,angle_dial_id_1_pos_5,speed_dial_id_1_pos_5,angle_dial_id_2_pos_3,speed_dial_id_2_pos_3,angle_dial_id_3_pos_2,speed_dial_id_3_pos_2,angle_dial_id_4_pos_6,speed_dial_id_4_pos_6,angle_dial_id_5_pos_1,speed_dial_id_5_pos_1,angle_dial_id_6_pos_4,speed_dial_id_6_pos_4
1,0.02,0.164406271203903,0,-0.465719118098575,0,0.366538708096353,0,-0.826298868109051,0,-2.21162025747207,0,-0.198506667960476,0
2,0.04,0.162861800708882,-0.0772235247510564,-0.462470896714598,0.162411069198853,0.373495161064699,0.347822648417273,-0.824624930526287,0.0836968791382231,-2.20638793924059,0.261615911573876,-0.222843776543847,-1.21685542916858
3,0.06,0.161337541623542,-0.0762129542669937,-0.459223915702671,0.162349050596317,0.380478312711887,0.349157582359441,-0.823011037795733,0.0806946365277117,-2.2006628615791,0.286253883074372,-0.247840831260941,-1.2498527358547
4,0.08,0.159833478824704,-0.0752031399419234,-0.455978281731508,0.162281698558181,0.387487112957838,0.350440012297554,-0.821459467671077,0.0775785062327727,-2.19445378674691,0.310453741609651,-0.273449441706118,-1.28043052225884
5,0.1,0.158349596916218,-0.0741940954242709,-0.452734101349365,0.162209019107135,0.394520501727276,0.351669438471891,-0.819972509375866,0.074347914760553,-2.18776964183686,0.33420724550266,-0.299618905953468,-1.30847321236749
6,0.12,0.156885880229965,-0.0731858343126654,-0.449491480980459,0.162131018445277,0.401577409155251,0.352845371398713,-0.818552462019287,0.0710023678289762,-2.18061950384543,0.357506899571347,-0.326296384786995,-1.33387394167636
7,0.14,0.155442312825923,-0.0721783702020876,-0.446250526921524,0.162047702946747,0.408656755801105,0.353967332292726,-0.817201632987872,0.0675414515707295,-2.17301258482382,0.380345951080518,-0.353427083519316,-1.35653493661605
8,0.16,0.154018878492546,-0.0711717166688719,-0.443011345338671,0.161959079142648,0.415757452858622,0.35503485287586,-0.815922336321222,0.0639648333325082,-2.16495821709728,0.402718386327061,-0.380954440792845,-1.37636786367643
9,0.18,0.152615560747249,-0.0701658872648711,-0.439774042262972,0.161865153784957,0.422878402376202,0.356047475878979,-0.814716891067339,0.060272262694161,-2.15646583861338,0.424618924195097,-0.40882032369714,-1.39329414521478
10,0.2,0.151232342836817,-0.0691608955215833,-0.436538723587845,0.161765933756378,0.430018497470465,0.357004754713158,-0.813587619624912,0.0564635721213513,-2.14754497841342,0.446043009997799,-0.436965228558556,-1.4072452430708
11,0.22,0.149869207737707,-0.0681567549555104,-0.433305495065385,0.161661426122975,0.437176622549909,0.357906253972215,-0.81253684606716,0.0525386778875925,-2.13820524227894,0.466986806724012,-0.465328486695541,-1.41816290684923
12,0.24,0.148526138156274,-0.0671534790716383,-0.430074462302505,0.161551638144011,0.444351653535839,0.358751549296504,-0.811566894451939,0.0484975807610366,-2.12845629855355,0.487447186269385,-0.493848474453713,-1.42599938790859
13,0.26,0.147203116529928,-0.0661510813173144,-0.426845730757644,0.161436577243051,0.451542458089432,0.359540227679611,-0.810680087119102,0.0443403666418485,-2.1183078641879,0.507421718282774,-0.522462826779955,-1.43071761631213
14,0.28,0.145900125026689,-0.0651495751619241,-0.423619405737435,0.161316251010446,0.458747895835918,0.360271887324301,-0.809878742973689,0.0400672072706276,-2.10776969100732,0.526908659028957,-0.551108653614406,-1.43229134172252
15,0.3,0.144617145545663,-0.0641489740512868,-0.420395592393257,0.161190667208919,0.465966818596192,0.360946138013726,-0.809165175759766,0.0356783606961619,-2.09685155224967,0.545906937882346,-0.579722758343303,-1.43070523644489
16,0.32,0.143354159718085,-0.0631492913789305,-0.417174395717684,0.161059833778612,0.473198070616667,0.361562601023752,-0.808541692322164,0.0311741718801162,-2.08556322937045,0.564416143960833,-0.60824185757133,-1.42595496140132
17,0.34,0.142111148907495,-0.0621505405294986,-0.413955920540867,0.160923758840867,0.480440488805127,0.362120909422975,-0.808010590858869,0.0265550731647635,-2.07391449916049,0.582436510498074,-0.63660280143241,-1.41804719305402
18,0.36,0.140888094209661,-0.0611527348917049,-0.410740271527279,0.160782450679389,0.48769290296156,0.362620707821648,-0.807574159168014,0.0218215845427305,-2.06191512118099,0.599968898975134,-0.66474279369226,-1.4069996129925
19,0.38,0.139684976453266,-0.0601558878197586,-0.407527553172489,0.160635917739538,0.49495413602013,0.363061652928529,-0.807234672882832,0.0169743142591161,-2.04957482554342,0.617014781878389,-0.692599610869406,-1.39284085885728
20,0.4,0.1385017762007,-0.0591600126282593,-0.404317869799296,0.160484168659628,0.502223004284302,0.363443413208578,-0.806994393705682,0.0120139588574708,-2.0369033010509,0.633576224626098,-0.720111819610829,-1.37561043707117
21,0.42,0.137338473748643,-0.0581651226028601,-0.401111325554602,0.160327212234723,0.509498317671721,0.363765669370947,-0.806855567633897,0.00694130358926404,-2.02391018372544,0.649655866273036,-0.747218991572417,-1.3553585980794
22,0.44,0.136195049127166,-0.0571712310738409,-0.397908024405997,0.160165057430225,0.516778879952928,0.36402811406035,-0.806820423183827,0.00175722250349564,-2.01060504572935,0.665256899804478,-0.773861915035245,-1.33214617314138
23,0.46,0.135071482101743,-0.0561783512711606,-0.394708070138352,0.159997713382268,0.524063488998355,0.364230452271386,-0.806891169610409,-0.00353732132909457,-1.99699738471131,0.680383050902089,-0.799982802532948,-1.30604437488514
24,0.48,0.133967752172841,-0.0551864964451254,-0.391511566350179,0.159825189408655,0.531350937022914,0.364372401227941,-0.807069995126914,-0.00894127582523607,-1.9830966135769,0.69503855672034,-0.825525493760993,-1.27713456140227
25,0.5,0.132883838576549,-0.054195679814581,-0.388318616450562,0.159647494980844,0.538640010836126,0.364453690660577,-0.807359065124065,-0.0144534998575752,-1.96891205071788,0.709228142951057,-0.850435653030204,-1.24550796346057
26,0.52,0.131819720285205,-0.0532059145672031,-0.385129323655619,0.159464639747114,0.545929492087286,0.36447406255799,-0.807760520389091,-0.0200727632512887,-1.95445291069598,0.722957001094859,-0.874660960613943,-1.21126537918693
27,0.54,0.130775376007504,-0.0522172138850335,-0.381943790985391,0.159276633511427,0.553218157519923,0.36443327163187,-0.808276475328444,-0.0257977469676485,-1.93972829541204,0.736230764197199,-0.898151297249573,-1.17451683178151
28,0.56,0.129750784188981,-0.0512295909261523,-0.378762121259898,0.159083486274669,0.560504779222281,0.364331085117925,-0.80890901619137,-0.0316270431463206,-1.92474718575893,0.749055482655225,-0.920858921204701,-1.13538119775641
29,0.58,0.128745923013031,-0.0502430587974917,-0.375584417096601,0.158885208164825,0.567788124880216,0.364167282896721,-0.809660199300734,-0.0375591554681698,-1.90951843377622,0.761437599135495,-0.942738637231965,-1.0939858013632
30,0.6,0.127760770400692,-0.0492576306169501,-0.37241078090629,0.158681809515535,0.575066958035026,0.363941657740507,-0.81053204928702,-0.0435924993142989,-1.89405075532411,0.773383922605686,-0.963747956831344,-1.05046597996891
31,0.62,0.126795304011545,-0.0482733194573856,-0.369241314890317,0.158473300798662,0.582340038335337,0.363654015015558,-0.811526557329712,-0.0497254021346094,-1.87835272326501,0.784901602954824,-0.983847249241395,-1.00496462050258
32,0.64,0.125849501243818,-0.0472901383863231,-0.366076121036944,0.158259692668677,0.589606121798605,0.363304173163376,-0.812645679406357,-0.0559561038322498,-1.86243276119472,0.795998103514661,-1.00299988261171,-0.957631668515868
33,0.66,0.12492333923512,-0.0463081004349358,-0.362915301118241,0.158040995935108,0.596863961066496,0.362891963394546,-0.813891334552533,-0.0622827573087847,-1.84629913768787,0.806681175342294,-1.02117235486347,-0.9086236125878
34,0.68,0.124016794862935,-0.0453272186092174,-0.359758956686428,0.157817221590681,0.60411230566782,0.362417230066242,-0.815265403128025,-0.068703428774608,-1.82995996111069,0.81695882885906,-1.03833441373428,-0.858102943540773
35,0.7,0.123129844745128,-0.0443475058903409,-0.356607189071283,0.157588380757256,0.611349902275964,0.361879830407152,-0.816769725099439,-0.0752160985706907,-1.81342317496067,0.826839307501226,-1.0544591656078,-0.806237593675785
36,0.72,0.122262465239968,-0.0433689752580402,-0.353460099376055,0.157354484761366,0.61857549497327,0.361279634865347,-0.818406098330027,-0.0818186615294314,-1.79669655378116,0.836331058975581,-1.06952317268784,-0.753200354001848
37,0.74,0.121414632447176,-0.0423916396395704,-0.35031778847469,0.157115545068254,0.625787825511799,0.360616526926405,-0.820176276887797,-0.0885089278884865,-1.77978769961286,0.845442708414645,-1.08350653818757,-0.699168274986883
